stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,closing_qty,closing_rate,closing_amount,closing_amount_abs
"Card, Book, Gift And Other Items",,,PCS,,,,,,,,6212,25.01,-155382.14,155382.14
AIRTEL,,,,,,,,,,,,,-6378.36,6378.36
Bill Book,,,,,,,,,,,,,-800.00,800.00
Card,,,PCS,,,,,,,,1,460.00,-460.00,460.00
CATRIDGE,,,PCS,,,,,,,,2,635.59,-1271.18,1271.18
Envelope,,,,,,,,,,,,,-2000.00,2000.00
Flex,,,PCS,,,,,,,,50,550.00,-27500.00,27500.00
Letterpad,,,,,,,,,,,,,-1800.00,1800.00
Mug Printing,,,,,,,,,,,,,-700.00,700.00
Pad (Book),,,PCS,,,,,,,,1977,17.00,-33609.00,33609.00
Pen,,,PCS,,,,,,,,995,6.00,-5970.00,5970.00
P.S.,,,PCS,,,,,,,,4,323.81,-1295.24,1295.24
Saree,,,PCS,,,,,,,,8,442.86,-3542.88,3542.88
Shade Card,,,PCS,,,,,,,,2975,20.00,-59500.00,59500.00
Sticker,,,PCS,,,,,,,,100,6.00,-600.00,600.00
TONNER POWDER SAMSUNG,,,PCS,,,,,,,,2,254.24,-508.48,508.48
Transperent Sticker,,,,,,,,,,,,,-70.00,70.00
T- Shirt,,,PCS,,,,,,,,97,15.00,-1455.00,1455.00
UPS ZEBRONIC (FRONTECH),,,PCS,,,,,,,,1,1822.00,-1822.00,1822.00
Visiting Card,,,,,,,,,,,,,-6100.00,6100.00
EMULSION INOX SPECIAL SHADE 10 LTR / 20 LTR,,,,,,,,,,,,,-21760.00,21760.00
INOX Special Shade 10 Ltr.(SIGNAL RED),,,,,,,,,,,,,-4480.00,4480.00
INOX Special Shade 20kg (SIGNAL RED),,,PCS,,,,,,,,2,2160.00,-4320.00,4320.00
INOX Special Shade 20kg (YELLOW),,,PCS,,,,,,,,6,2160.00,-12960.00,12960.00
EMULSION SPECAIL SHADES (INOX),,,PCS,,,,,,,,6306,119.15,-751347.42,751347.42
INOX Special Shade 10Ltr.(LIME CREZY),,,PCS,,,,,,,,1,1120.00,-1120.00,1120.00
INOX Special Shade 10Ltr. (MEERY PINK),,,PCS,,,,,,,,5,1120.00,-5600.00,5600.00
INOX Special Shade 10Ltr. (NUT BROWN),,,PCS,,,,,,,,1,1120.00,-1120.00,1120.00
Inox Special Shade 10 Ltr. ( PARROT GREEN),,,PCS,,,,,,,,2,1120.00,-2240.00,2240.00
INOX Special Shade 10 Ltr. (TERRACOTTA),,,PCS,,,,,,,,2,1120.00,-2240.00,2240.00
INOX Special Shade 10Ltr. (YELLOW),,,PCS,,,,,,,,7,2720.00,-19040.00,19040.00
INOX Special Shade 1Ltr. (BLACK),,,PCS,,,,,,,,21,120.00,-2520.00,2520.00
INOX Special Shade 1Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,102,125.00,-12750.00,12750.00
INOX Special Shade 1Ltr. (LM. SOUFFLE),,,PCS,,,,,,,,78,125.00,-9750.00,9750.00
INOX Special Shade 1Ltr. (MEGENTA),,,PCS,,,,,,,,4,125.00,-500.00,500.00
INOX Special Shade 1Ltr. (ORANGE),,,PCS,,,,,,,,30,125.00,-3750.00,3750.00
Inox Special Shade 1 Ltr. (ORANGE VISION),,,PCS,,,,,,,,160,125.00,-20000.00,20000.00
INOX Special Shade 1 Ltr.(OXFORD BLUE),,,PCS,,,,,,,,95,125.00,-11875.00,11875.00
Inox Special Shade 1Ltr. (PARROT GREEN),,,PCS,,,,,,,,37,120.00,-4440.00,4440.00
INOX Special Shade 1Ltr. (PINK),,,PCS,,,,,,,,2,125.00,-250.00,250.00
INOX Special Shade 1Ltr. (PURPLE),,,PCS,,,,,,,,164,225.61,-37000.00,37000.00
INOX Special Shade 1Ltr. (SIGNAL RED),,,PCS,,,,,,,,404,39.01,-15761.36,15761.36
INOX Special Shade 1Ltr. (SKY BLUE),,,PCS,,,,,,,,12,125.00,-1500.00,1500.00
INOX Special Shade 1 LTR. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,91,125.00,-11375.00,11375.00
Inox Special Shade 1 Ltr. (SPORTY YELLOW),,,PCS,,,,,,,,158,125.00,-19750.00,19750.00
INOX Special Shade 1Ltr. (SUNRISE),,,PCS,,,,,,,,405,125.00,-50625.00,50625.00
INOX Special Shade 1Ltr. (TERRACOTTA),,,PCS,,,,,,,,79,479.43,-37875.00,37875.00
Inox Special Shade 1 Ltr. ( TWILIGHT ZONE),,,PCS,,,,,,,,141,125.00,-17625.00,17625.00
INOX Special Shade 1Ltr. (YELLOW),,,PCS,,,,,,,,11,125.00,-1375.00,1375.00
INOX Special Shade 4Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,32,465.00,-14880.00,14880.00
INOX Special Shade 4Ltr. (NUT BROWN),,,PCS,,,,,,,,8,465.00,-3720.00,3720.00
INOX Special Shade 4Ltr. (ORANGE),,,PCS,,,,,,,,4,465.00,-1860.00,1860.00
Inox Special Shade 4 Ltr. ( PARROT GREEN),,,PCS,,,,,,,,8,465.00,-3720.00,3720.00
INOX Special Shade 4Ltr. (PINK),,,PCS,,,,,,,,1,465.00,-465.00,465.00
INOX Special Shade 4 Ltr. (SIGNAL RED),,,PCS,,,,,,,,92,566.09,-52080.00,52080.00
INOX Special Shade 4Ltr. (SUNRISE),,,PCS,,,,,,,,34,465.00,-15810.00,15810.00
INOX Special Shade 4 Ltr. (TERRACOTTA),,,PCS,,,,,,,,35,465.00,-16275.00,16275.00
INOX Special Shade 4Ltr. (WHITE),,,PCS,,,,,,,,62,465.00,-28830.00,28830.00
INOX Special Shade 4Ltr. (YELLOW),,,PCS,,,,,,,,64,465.00,-29760.00,29760.00
INOX Special Shade 500ml. (BLACK),,,PCS,,,,,,,,100,75.00,-7500.00,7500.00
INOX Special Shade 500Ml (JOLLY HOLLY),,,PCS,,,,,,,,162,87.59,-14190.00,14190.00
INOX Special Shade 500ml. (LM. SOUFFLE),,,PCS,,,,,,,,302,70.00,-21140.00,21140.00
INOX Special Shade 500ml. (MERRY PINK),,,PCS,,,,,,,,204,70.00,-14280.00,14280.00
INOX Special Shade 500 ML. (OXFORD BLUE),,,PCS,,,,,,,,48,75.00,-3600.00,3600.00
INOX Special Shade 500ml. (PARROT GREEN),,,PCS,,,,,,,,180,70.00,-12600.00,12600.00
INOX Special Shade 500ml. (PURPLE),,,PCS,,,,,,,,240,78.75,-18900.00,18900.00
INOX Special Shade 500ml. (SIGNAL RED),,,PCS,,,,,,,,1393,76.29,-106275.00,106275.00
INOX Special Shade 500ml. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,48,87.50,-4200.00,4200.00
INOX Special Shade 500ml. (SUNRISE),,,PCS,,,,,,,,593,78.16,-46350.00,46350.00
INOX Special Shade 500ml. (TERRACOTTA),,,PCS,,,,,,,,596,61.88,-36881.06,36881.06
INOX Special Shade 500ml. (YELLOW),,,PCS,,,,,,,,88,90.34,-7950.00,7950.00
EMULSION SPECAIL SHADES (SAFARI),,,PCS,,,,,,,,5711,150.95,-862092.99,862092.99
SAFARI Special Shade 1Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,142,144.55,-20525.45,20525.45
Safari Special Shade 1Ltr. ( LEMON SHOUFFLE),,,PCS,,,,,,,,117,155.00,-18135.00,18135.00
SAFARI Special Shade 1Ltr. (PINK),,,PCS,,,,,,,,150,161.20,-24180.00,24180.00
Safari Special Shade 1 LTR. (PURPLE),,,PCS,,,,,,,,108,165.00,-17820.00,17820.00
SAFARI Special Shade 1Ltr. (SIGNAL RED),,,PCS,,,,,,,,811,165.14,-133930.58,133930.58
SAFARI Special Shade 1Ltr. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,150,164.12,-24617.65,24617.65
SAFARI Special Shade 1Ltr. (SUNRISE),,,PCS,,,,,,,,499,168.87,-84268.50,84268.50
SAFARI Special Shade 1Ltr. (TERRACOTTA),,,PCS,,,,,,,,337,159.88,-53879.80,53879.80
SAFARI Special Shade 1 Ltr. (WHITE),,,PCS,,,,,,,,18,155.00,-2790.00,2790.00
SAFARI Special Shade 1Ltr. (YELLOW),,,PCS,,,,,,,,206,174.08,-35861.01,35861.01
SAFARI Special Shade 4Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,64,608.00,-38912.00,38912.00
Safari Special Shade 4Ltr. ( LEMON SHOUFFLE),,,PCS,,,,,,,,25,608.00,-15200.00,15200.00
Safari Special Shade 4Ltr. ( OXFORD BLUE),,,PCS,,,,,,,,13,608.00,-7904.00,7904.00
Safari Special Shade 4Ltr. ( SIGNAL RED),,,PCS,,,,,,,,2,648.00,-1296.00,1296.00
Safari Special Shade 4Ltr. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,63,608.00,-38304.00,38304.00
SAFARI Special Shade 4LTR. ( SUNRISE),,,PCS,,,,,,,,10,648.00,-6480.00,6480.00
SAFARI Special Shade 4Ltr. (TERRACOTTA),,,PCS,,,,,,,,31,648.00,-20088.00,20088.00
SAFARI Special Shade 4Ltr. (WHITE),,,PCS,,,,,,,,6,608.00,-3648.00,3648.00
Safari Special Shade 4Ltr. ( YELLOW),,,PCS,,,,,,,,16,648.00,-10368.00,10368.00
Safari Special Shade 500 ML. (JOLLY HOLLY),,,PCS,,,,,,,,60,95.00,-5700.00,5700.00
Safari Special Shade 500 ML. (OXFORD BLUE),,,PCS,,,,,,,,252,90.00,-22680.00,22680.00
Safari Special Shade 500 ML. (PURPLE),,,PCS,,,,,,,,79,95.00,-7505.00,7505.00
Safari Special Shade 500 ML. (SIGNAL RED),,,PCS,,,,,,,,578,95.00,-54910.00,54910.00
Safari Special Shade 500 ML. (SOOTHING BLUE),,,PCS,,,,,,,,144,90.00,-12960.00,12960.00
Safari Special Shade 500 ML. (SUNRISE),,,PCS,,,,,,,,528,95.00,-50160.00,50160.00
Safari Special Shade 500 ML. (TERRACOTTA),,,PCS,,,,,,,,648,95.00,-61560.00,61560.00
Safari Special Shade 500 ML. (YELLOW),,,PCS,,,,,,,,216,95.00,-20520.00,20520.00
Safari Special Shase 1Ltr. ( OXFORD BLUE),,,PCS,,,,,,,,438,155.00,-67890.00,67890.00
INOX DISTEMPER BUCKET,,,PCS,,,,,,,,458,341.08,-156214.00,156214.00
INOX Acrylic Distemper 10kg (AQUAMARINE),,,PCS,,,,,,,,30,390.00,-11700.00,11700.00
INOX Acrylic Distemper 10kg (JAIPURIA PINK),,,BKT,,,,,,,,26,235.00,-6110.00,6110.00
INOX Acrylic Distemper 10kg (LIGHT GREEN),,,PCS,,,,,,,,22,235.00,-5170.00,5170.00
INOX Acrylic Distemper 10kg (LIRIL),,,PCS,,,,,,,,1,390.00,-390.00,390.00
INOX Acrylic Distemper 10kg (PALE ROSE),,,PCS,,,,,,,,4,235.00,-940.00,940.00
INOX Acrylic Distemper 10kg (PARROT GREEN),,,PCS,,,,,,,,20,390.00,-7800.00,7800.00
INOX Acrylic Distemper 10kg (SUNRISE),,,PCS,,,,,,,,6,415.00,-2490.00,2490.00
INOX Acrylic Distemper 20kg (AQUAMARINE),,,PCS,,,,,,,,6,680.00,-4080.00,4080.00
INOX Acrylic Distemper 20kg (DAFFODIL),,,PCS,,,,,,,,10,680.00,-6800.00,6800.00
INOX Acrylic Distemper 20kg (LIGHT GREEN),,,PCS,,,,,,,,1,680.00,-680.00,680.00
INOX Acrylic Distemper 20kg (LIRIL),,,PCS,,,,,,,,4,680.00,-2720.00,2720.00
INOX Acrylic Distemper 20kg (PALE ROSE),,,PCS,,,,,,,,20,608.00,-12160.00,12160.00
INOX Acrylic Distemper 20kg (PARROT GREEN),,,PCS,,,,,,,,21,608.00,-12768.00,12768.00
INOX Acrylic Distemper 20kg (SUNRISE),,,PCS,,,,,,,,4,720.00,-2880.00,2880.00
INOX Acrylic Distemper 20kg (WHITE),,,PCS,,,,,,,,37,608.00,-22496.00,22496.00
INOX Acrylic Distemper 5kg (AQUAMARINE),,,PCS,,,,,,,,1,225.00,-225.00,225.00
INOX Acrylic Distemper 5kg (LIRIL),,,PCS,,,,,,,,43,235.00,-10105.00,10105.00
INOX Acrylic Distemper 5kg (MERRY PINK),,,PCS,,,,,,,,70,225.00,-15750.00,15750.00
INOX Acrylic Distemper 5kg (PALE CREAM),,,PCS,,,,,,,,2,225.00,-450.00,450.00
INOX Acrylic Distemper 5kg (PALE ROSE),,,PCS,,,,,,,,4,225.00,-900.00,900.00
INOX Acrylic Distemper 5kg (PARROT GREEN),,,PCS,,,,,,,,63,235.00,-14805.00,14805.00
INOX Acrylic Distemper 5kg (SUNRISE),,,PCS,,,,,,,,43,235.00,-10105.00,10105.00
INOX Acrylic Distemper 5kg (WHITE),,,PCS,,,,,,,,1,225.00,-225.00,225.00
INOX Acrylic Distemper 5kg (YELLOW),,,PCS,,,,,,,,19,235.00,-4465.00,4465.00
INOX DISTEMPER POUCH,,,PKT,,,,,,,,23772.000,25.69,-610625.00,610625.00
INOX Acrylic Distemper 1kg (CANDY),,,PKT,,,,,,,,280.000,27.00,-7560.00,7560.00
INOX Acrylic Distemper 1kg (DAFFODIL),,,PKT,,,,,,,,3275.000,27.00,-88425.00,88425.00
INOX Acrylic Distemper 1kg (ELECTRIC BLUE),,,PKT,,,,,,,,4432.000,27.00,-119664.00,119664.00
INOX Acrylic Distemper 1kg (LIGHT GREEN),,,PKT,,,,,,,,900.000,27.00,-24300.00,24300.00
INOX Acrylic Distemper 1kg (LIRIL),,,PKT,,,,,,,,460.000,27.00,-12420.00,12420.00
INOX Acrylic Distemper 1kg (MERRY PINK),,,PKT,,,,,,,,160.000,27.00,-4320.00,4320.00
INOX Acrylic Distemper 1kg (PALE CREAM),,,PKT,,,,,,,,1320.000,27.00,-35640.00,35640.00
INOX Acrylic Distemper 1kg Pouch (AQUAMARINE),,,PKT,,,,,,,,3852.000,27.00,-104004.00,104004.00
INOX Acrylic Distemper 1kg Pouch (FIRE RED),,,PKT,,,,,,,,543.000,27.00,-14661.00,14661.00
INOX Acrylic Distemper 1kg Pouch (JAIPURI PINK),,,PKT,,,,,,,,319.000,27.00,-8613.00,8613.00
INOX Acrylic Distemper 1kg Pouch (PALE ROSE),,,PKT,,,,,,,,2938.000,23.09,-67851.00,67851.00
INOX Acrylic Distemper 1kg Pouch (PARROT GREEN),,,PKT,,,,,,,,3228.000,23.00,-74243.00,74243.00
INOX Acrylic Distemper 1kg Pouch (WHITE),,,PKT,,,,,,,,341.000,6.97,-2376.00,2376.00
INOX Acrylic Distemper 1kg (PURPLE),,,PKT,,,,,,,,480.000,27.00,-12960.00,12960.00
INOX Acrylic Distemper 1kg (SUNRISE),,,PKT,,,,,,,,414.000,27.00,-11178.00,11178.00
INOX Acrylic Distemper 1kg (WILD LILAC),,,PKT,,,,,,,,310.000,27.00,-8370.00,8370.00
INOX Acrylic Distemper 1kg (YELLOW),,,PKT,,,,,,,,107.000,27.00,-2889.00,2889.00
INOX Acrylic Distemper Pouch 1kg  (JOLLY HOLLY),,,PKT,,,,,,,,413.000,27.00,-11151.00,11151.00
INOX Ext. Emulsion,,,PCS,,,,,,,,1475,218.36,-322077.93,322077.93
INOX Matte Finish Ext.Eml 500ML.,,,PCS,,,,,,,,997,75.64,-75411.00,75411.00
INOX Matt Finish Ext. Eml. 10 Ltr.,,,PCS,,,,,,,,72,920.82,-66299.36,66299.36
INOX Matt Finish Ext. Eml. 1Ltr.,,,PCS,,,,,,,,212,230.22,-48806.78,48806.78
INOX Matt Finish Ext. Eml. 20Ltr.,,,PCS,,,,,,,,15,1991.25,-29868.75,29868.75
INOX Matt Finish Ext. Eml. 4Ltr.,,,PCS,,,,,,,,160,338.70,-54192.04,54192.04
Inox Water Base Enamel Ext.2/3 10Ltr.,,,PCS,,,,,,,,9,1700.00,-15300.00,15300.00
Inox Water Base Enamel Ext. 2/3 20Ltr.,,,PCS,,,,,,,,10,3220.00,-32200.00,32200.00
INOX FLOOR COAT,,,,,,,,,,,,,-3640.00,3640.00
INOX Floor Coat 1Ltr. (SIGNAL RED),,,PCS,,,,,,,,14,260.00,-3640.00,3640.00
INOX Int. Emulsion,,,PCS,,,,,,,,160,1668.80,-267008.40,267008.40
INOX Matt Finish Int. Eml. 10Ltr.,,,PCS,,,,,,,,47,929.72,-43696.91,43696.91
INOX Matt Finish Int. Eml. 1Ltr.,,,PCS,,,,,,,,84,2012.05,-169012.11,169012.11
INOX Matt Finish Int. Eml. 20Ltr.,,,PCS,,,,,,,,28,1841.32,-51556.88,51556.88
INOX Matt Finish Int. Eml. 4Ltr.,,,PCS,,,,,,,,1,2742.50,-2742.50,2742.50
PAINT OIL,,,,,,,,,,,,,-87296.00,87296.00
PAINT OIL 200 ML.,,,PCS,,,,,,,,225,20.00,-4500.00,4500.00
PAINT OIL 20 LTR.,,,,,,,,,,,,,-30720.00,30720.00
Paint Oil 450 ML.,,,PCS,,,,,,,,840,42.00,-35280.00,35280.00
PAINT OIL 800 ML,,,PCS,,,,,,,,247,68.00,-16796.00,16796.00
PRIMER (EXT. & INT.),,,PCS,,,,,,,,1228,148.30,-182111.77,182111.77
INOX Water Primer 10Ltr.,,,PCS,,,,,,,,41,421.40,-17277.21,17277.21
INOX Water Primer 1Ltr.,,,PCS,,,,,,,,114,108.61,-12381.92,12381.92
INOX Water Primer 20Ltr.,,,PCS,,,,,,,,11,1238.09,-13619.00,13619.00
INOX Water Primer 4Ltr.,,,PCS,,,,,,,,123,347.25,-42712.12,42712.12
SAFARI METAL PRIMER 20 Ltr.,,,DRM,,,,,,,,17,,,
SAFARI Red Oxide Matt (G2) 1Ltr.,,,PCS,,,,,,,,71,142.86,-10142.86,10142.86
SAFARI Red Oxide Matt (G2) 20Ltr.,,,PCS,,,,,,,,6,,,
SAFARI Red Oxide Matt (G2) 4Ltr.,,,PCS,,,,,,,,4,480.00,-1920.00,1920.00
SAFARI Red Oxide Matt (G2) 500ml.,,,PCS,,,,,,,,85,44.47,-3779.64,3779.64
SAFARI Red Oxide Matt (G3) 1Ltr.,,,PCS,,,,,,,,371,42.17,-15645.00,15645.00
SAFARI Red Oxide Matt (G3) 4Ltr.,,,PCS,,,,,,,,51,90.09,-4594.59,4594.59
SAFARI Red Oxide Matt (G3) 500Ml.,,,PCS,,,,,,,,152,187.73,-28534.99,28534.99
SAFARI Smooth Finish Water Primer 10Ltr.,,,PCS,,,,,,,,15,658.00,-9870.00,9870.00
SAFARI Smooth Finish Water Primer 1Ltr.,,,PCS,,,,,,,,160,97.13,-15540.00,15540.00
SAFARI Smooth Finish Water Primer 20Ltr.,,,PCS,,,,,,,,5,1088.89,-5444.44,5444.44
SAFARI Smooth Finish Water Primer 4Ltr.,,,PCS,,,,,,,,2,325.00,-650.00,650.00
RAW MATERIAL,,,,,,,,,,,,,-6141278.18,6141278.18
10 KG Bucket With LID,,,PCS,,,,,,,,1280,70.00,-89600.00,89600.00
1 Ltr. (TIn),,,PCS,,,,,,,,3818,22.00,-83996.00,83996.00
20 KG Bucket with LID,,,PCS,,,,,,,,206,120.00,-24720.00,24720.00
4 Ltr. (TIn),,,PCS,,,,,,,,592,56.00,-33152.00,33152.00
500 Ml. (TIn),,,PCS,,,,,,,,5108,16.00,-81728.00,81728.00
5 KG BUCKET WITH LID,,,PCS,,,,,,,,2344,38.44,-90114.99,90114.99
Alfox 200,,,KG,,,,,,,,37.020,253.14,-9371.24,9371.24
Aluminium Stearate,,,KG,,,,,,,,25.000,130.00,-3250.00,3250.00
Amonia,,,KG,,,,,,,,16.900,,,
Barrels (18%),,,PCS,,,,,,,,5,670.00,-3350.00,3350.00
Blue Drum 100 Ltr.,,,DRM,,,,,,,,-4,,,
Blue Drum 50 Ltr.,,,PCS,,,,,,,,-2,,,
"Bowl Set 20""",,,PCS,,,,,,,,1,1199.90,-1199.90,1199.90
Bucket with LID -10 LTR,,,PCS,,,,,,,,366,88.50,-32391.00,32391.00
BUCKET with LID- 1 LTR,,,PCS,,,,,,,,10470,15.43,-161537.76,161537.76
BUCKET with LID-20 LTR,,,LTR,,,,,,,,150.000,160.00,-24000.00,24000.00
BUCKET with LID-4 LTR,,,PCS,,,,,,,,1835,38.20,-70097.00,70097.00
Bucket with Lid- 500Ml.,,,PCS,,,,,,,,12373,11.84,-146487.78,146487.78
Cartoon (1 Ltr. x 6 Pcs),,,PCS,,,,,,,,2031,9.50,-19294.50,19294.50
Cartoon (4 Ltr. x 4 Pcs),,,PCS,,,,,,,,498,30.00,-14940.00,14940.00
Cartoon (500 Ml. x 12 Pcs),,,PCS,,,,,,,,2002,10.20,-20420.40,20420.40
Cartoon (5 Kg. x 4 Pcs),,,PCS,,,,,,,,499,31.00,-15469.00,15469.00
Cartoon Distemper (Pouch),,,BOX,,,,,,,,2777,38.16,-105959.85,105959.85
Cartoon Distemper (Pouch) NEW BHARAT PAINTS,,,PCS,,,,,,,,510,25.00,-12750.00,12750.00
Cartoon Tape (4),,,PCS,,,,,,,,63,486.50,-30649.62,30649.62
Cartoon Tape (6),,,PCS,,,,,,,,72,57.79,-4161.01,4161.01
Caustic Soda,,,KG,,,,,,,,105.400,50.00,-5270.00,5270.00
Caustic Soda Flakes,,,KG,,,,,,,,300.000,54.00,-16200.00,16200.00
Cellulose Ether (Hecellose) SBHV (25KGS),,,KG,,,,,,,,75.000,610.00,-45750.00,45750.00
CEPS,,,PCS,,,,,,,,445,3.00,-1335.00,1335.00
Chain Pulley Block 1 Ton (K- Power),,,PCS,,,,,,,,1,4150.00,-4150.00,4150.00
Chemnol 5013,,,KG,,,,,,,,195.000,165.00,-32175.00,32175.00
CHINA CLAY (MT),,,KG,,,,,,,,13940.000,13.20,-183964.93,183964.93
Clarolite Voilet 91 (R),,,KG,,,,,,,,20.000,570.00,-11400.00,11400.00
CMC YBOON,,,KG,,,,,,,,133.800,336.67,-45046.00,45046.00
Drier Combination 25,,,KG,,,,,,,,75.000,196.67,-14750.00,14750.00
ELECTRICALS PRODUCT,,,QTY,,,,,,,,1.000,900.00,-900.00,900.00
EMDICRYL 2495 (240Kg),,,KG,,,,,,,,720.000,78.00,-56160.00,56160.00
EMDILITH DP 09 (250KG),,,KG,,,,,,,,250.000,115.00,-28750.00,28750.00
Eurocryl 4020 (235kgs),,,KG,,,,,,,,1645.000,98.00,-161210.00,161210.00
Eurocryl 7001 (235 Kgs),,,KG,,,,,,,,2115.000,71.00,-150165.00,150165.00
GLOVES EXMINATION M,,,QTY,,,,,,,,20.000,165.18,-3303.60,3303.60
