stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,closing_qty,closing_rate,closing_amount,closing_amount_abs
HP 2590,,,PCS,,,,,,,,1,3644.07,-3644.07,3644.07
Indofil AT 140 245 KGS,,,KG,,,,,,,,245.000,112.00,-27440.00,27440.00
Industrial Solvent (Ltr),,,LTR,,,,,,,,800.000,63.50,-50800.00,50800.00
INNER PLUG,,,PCS,,,,,,,,500,6.00,-3000.00,3000.00
INOX 20LTR,,,BKT,,,,,,,,3,33466.67,-100400.00,100400.00
INOX DISTEMPER 20 KG BUCKETWITH LID,,,PCS,,,,,,,,210,120.00,-25200.00,25200.00
INOX DISTEMPER BUCKET 10 KG WITH LID,,,PCS,,,,,,,,152,70.00,-10640.00,10640.00
INOX DISTEMPER BUCKET 5KG WITH LID,,,PCS,,,,,,,,329,40.00,-13160.00,13160.00
JJ-2431 (50%),,,KG,,,,,,,,440.000,75.00,-33000.00,33000.00
JJ FOAM 7010 DEFOAMER (45KG),,,KG,,,,,,,,225.000,202.00,-45450.00,45450.00
Job Advertising Ad,,,QTY,,,,,,,,1.000,2200.00,-2200.00,2200.00
LD/HM/PP Bags and Roll Kg,,,KG,,,,,,,,367.774,120.36,-44264.64,44264.64
LIBO OIL AND & SE PAINT 2719,,,KG,,,,,,,,-100.000,,,
Liquor Ammonia,,,KG,,,,,,,,387.700,45.04,-17460.20,17460.20
Maize Starch Bag,,,BAG,,,,,,,,80,370.54,-29642.80,29642.80
Marble Powder 9500,,,KG,,,,,,,,34992.000,4.54,-158854.58,158854.58
Marble Powder 9900,,,KG,,,,,,,,32513.000,5.32,-172899.91,172899.91
MEG,,,KG,,,,,,,,230.300,74.16,-17077.98,17077.98
Metazolone FM,,,KG,,,,,,,,200.000,61.25,-12250.00,12250.00
Mineral Powder (25kg),,,KG,,,,,,,,3000.000,10.92,-32749.98,32749.98
MINERAL (TURKEY) 25KG,,,KG,,,,,,,,2000.000,9.75,-19500.00,19500.00
Minifine Blue 1611,,,KG,,,,,,,,42.300,318.00,-13451.40,13451.40
Minifine Green BT,,,KG,,,,,,,,172.800,370.00,-63936.00,63936.00
Minifine Red 1551 (Interior),,,KG,,,,,,,,50.000,406.00,-20300.00,20300.00
Minifine Signal Red 48,,,KG,,,,,,,,191.950,408.00,-78315.60,78315.60
Minifine Signal Red Special,,,KG,,,,,,,,110.000,549.64,-60460.00,60460.00
Minifine Traffic Yellow 4583,,,KG,,,,,,,,100.000,258.00,-25800.00,25800.00
Minifine Yellow 1574,,,KG,,,,,,,,477.000,215.55,-102816.09,102816.09
Minifine Yellow Green 1621,,,KG,,,,,,,,230.000,310.78,-71480.00,71480.00
NATROSOL 250 HHBR (HEC),,,KG,,,,,,,,50.000,670.00,-33500.00,33500.00
NDW,,,KG,,,,,,,,28.100,,,
Orton 731,,,KG,,,,,,,,24.580,151.50,-3723.87,3723.87
PAINT OIL,,,KG,,,,,,,,1250.000,80.64,-100797.20,100797.20
Paint Oils,,,LTR,,,,,,,,2000.000,50.42,-100847.46,100847.46
Pig.Paste Black,,,KG,,,,,,,,50.000,115.00,-5750.00,5750.00
Pig.Paste Green B,,,KG,,,,,,,,285.500,325.00,-92787.50,92787.50
Pig.Paste Pink,,,KG,,,,,,,,50.000,625.00,-31250.00,31250.00
Pig Paste Red 551,,,KG,,,,,,,,200.000,395.00,-79000.00,79000.00
Pig Paste Red Violet-Rosella,,,KG,,,,,,,,100.000,425.00,-42500.00,42500.00
Pig.Paste Royal Blue,,,KG,,,,,,,,300.000,290.00,-87000.00,87000.00
Pig.Paste Signal Red,,,KG,,,,,,,,250.000,365.00,-91250.00,91250.00
Pig Paste Special Signal Red,,,KG,,,,,,,,100.000,435.00,-43500.00,43500.00
Pigpaste Traffic Yellow,,,KG,,,,,,,,150.000,250.00,-37500.00,37500.00
Pig.Paste Violet,,,KG,,,,,,,,50.000,525.00,-26250.00,26250.00
Pigpaste Yellow-74,,,KG,,,,,,,,100.000,210.00,-21000.00,21000.00
Pig.Paste Yellow Green,,,KG,,,,,,,,150.000,330.00,-49500.00,49500.00
Pinoil,,,KG,,,,,,,,12.600,163.46,-2059.60,2059.60
Plastic Bucket Paint 10kg (Safari Distemper),,,PCS,,,,,,,,441,80.00,-35280.00,35280.00
Plastic Bucket Paint 10Ltr. (Safari Lux.),,,PCS,,,,,,,,1078,95.00,-102410.00,102410.00
Plastic Bucket Paint 1kg (Safari Distemper),,,PCS,,,,,,,,1158,12.00,-13896.00,13896.00
Plastic Bucket Paint 1Ltr. (Safari Lux.),,,PCS,,,,,,,,5385,15.00,-80775.00,80775.00
Plastic Bucket Paint 20kg (Safari Distemper),,,PCS,,,,,,,,452,121.00,-54692.00,54692.00
Plastic Bucket Paint 20Ltr. (Safari Lux.),,,PCS,,,,,,,,928,143.00,-132704.00,132704.00
Plastic Bucket Paint 4Ltr. (Safari Lux.),,,PCS,,,,,,,,2344,42.00,-98448.00,98448.00
Plastic Bucket Paint 5kg (Safari Distemper),,,PCS,,,,,,,,894,40.00,-35760.00,35760.00
Plastic Bucket Squire 10kg (Sapphire),,,PCS,,,,,,,,100,74.00,-7400.00,7400.00
Plastic Bucket Squire 20kg (Sapphire),,,PCS,,,,,,,,100,130.00,-13000.00,13000.00
Preventol D- 6 Gf,,,KG,,,,,,,,630.250,65.86,-41508.98,41508.98
Primal AC-261S Acrylic Emulsion,,,KG,,,,,,,,1645.000,108.29,-178129.98,178129.98
Printed Flexible Laminated (INOX),,,KG,,,,,,,,395.000,207.63,-82013.85,82013.85
Printed Flexible Laminated (Safari Pouch),,,KG,,,,,,,,949.600,208.69,-198170.64,198170.64
Red-3 1551,,,KG,,,,,,,,5.000,,,
Resin Mix Industrial Solvent,,,LTR,,,,,,,,216.000,61.00,-13176.00,13176.00
Soapstone Powder (50kg),,,KG,,,,,,,,2000.000,14.00,-28000.00,28000.00
Sodium Carboxymethyl Cellulose Cmc) 25kgs Eagle),,,KG,,,,,,,,175.000,301.43,-52750.00,52750.00
Starch Powder,,,KG,,,,,,,,1440.000,42.40,-61056.00,61056.00
Styrene Acrylic Emulsion,,,KG,,,,,,,,1888.000,78.23,-147702.96,147702.96
SUN A 0009A 640,,,KG,,,,,,,,220.000,176.00,-38720.00,38720.00
Syn. Iron Oxide Pigment - Red,,,KG,,,,,,,,1825.000,108.11,-197291.64,197291.64
Syn. Iron Oxide Pigment - Yellow,,,KG,,,,,,,,25.000,110.00,-2750.00,2750.00
Synthatic CNSL Resins,,,KG,,,,,,,,2010.000,63.82,-128280.57,128280.57
Synthtic Alkyed Resins,,,KG,,,,,,,,400.000,117.00,-46800.00,46800.00
Tally Prime,,,QTY,,,,,,,,1.000,8100.00,-8100.00,8100.00
Titanium Dioxide-32061110,,,KG,,,,,,,,1155.000,263.10,-303884.10,303884.10
TULSI CHINA-052,,,KG,,,,,,,,5000.000,10.00,-50000.00,50000.00
TULSI CHINA-053,,,KG,,,,,,,,5000.000,9.00,-45000.00,45000.00
SAFARI DISTEMPER BUCKET,,,PCS,,,,,,,,1371,361.81,-496047.03,496047.03
SAFARI Double Bond Distemper 10kg (AQUAMARINE),,,PCS,,,,,,,,67,113.21,-7585.33,7585.33
SAFARI Double Bond Distemper 10kg (CANDY),,,PCS,,,,,,,,11,450.00,-4950.00,4950.00
SAFARI Double Bond Distemper 10kg (DAFFODIL),,,PCS,,,,,,,,30,507.71,-15231.36,15231.36
SAFARI Double Bond Distemper 10kg (ELECTRIC BLUE),,,PCS,,,,,,,,18,268.03,-4824.62,4824.62
SAFARI Double Bond Distemper 10kg (JAIPURIYA PINK),,,PCS,,,,,,,,5,720.00,-3600.00,3600.00
SAFARI Double Bond Distemper 10kg (JOLLY HOLLY),,,PCS,,,,,,,,3,450.00,-1350.00,1350.00
SAFARI Double Bond Distemper 10kg (LIGHT GREEN),,,PCS,,,,,,,,26,250.00,-6500.00,6500.00
SAFARI Double Bond Distemper 10kg (LIRIL),,,,,,,,,,,,,-40.00,40.00
SAFARI Double Bond Distemper 10kg (MEGENTA),,,PCS,,,,,,,,2,475.00,-950.00,950.00
SAFARI Double Bond Distemper 10kg (MERRY PINK),,,PCS,,,,,,,,6,450.00,-2700.00,2700.00
SAFARI Double Bond Distemper 10kg (PALE CREAM),,,PCS,,,,,,,,10,450.00,-4500.00,4500.00
SAFARI Double Bond Distemper 10kg (PALE ROSE),,,PCS,,,,,,,,15,359.33,-5390.00,5390.00
SAFARI Double Bond Distemper 10kg (PARROT GREEN),,,PCS,,,,,,,,16,206.25,-3300.00,3300.00
SAFARI Double Bond Distemper 10kg (PISTA),,,PCS,,,,,,,,27,450.00,-12150.00,12150.00
SAFARI Double Bond Distemper 10kg (SKY BLUE),,,PCS,,,,,,,,12,450.00,-5400.00,5400.00
SAFARI Double Bond Distemper 10kg (SUNRISE),,,PCS,,,,,,,,27,450.00,-12150.00,12150.00
SAFARI Double Bond Distemper 10kg (WHITE),,,PCS,,,,,,,,20,500.00,-10000.00,10000.00
SAFARI Double Bond Distemper 10kg (YELLOW),,,PCS,,,,,,,,18,475.00,-8550.00,8550.00
SAFARI Double Bond Distemper 20kg (AQUAMARINE),,,PCS,,,,,,,,38,682.92,-25951.08,25951.08
SAFARI Double Bond Distemper 20kg (CANDY),,,PCS,,,,,,,,5,740.00,-3700.00,3700.00
SAFARI Double Bond Distemper 20kg (DAFFODIL),,,PCS,,,,,,,,39,834.87,-32560.00,32560.00
SAFARI Double Bond Distemper 20kg (ELECTRIC BLUE),,,PCS,,,,,,,,6,916.67,-5500.00,5500.00
SAFARI Double Bond Distemper 20kg (JAIPURIYA PINK),,,PCS,,,,,,,,5,740.00,-3700.00,3700.00
SAFARI Double Bond Distemper 20kg (JOLLY HOLLY),,,PCS,,,,,,,,3,740.00,-2220.00,2220.00
SAFARI Double Bond Distemper 20kg (LIGHT GREEN),,,PCS,,,,,,,,6,740.00,-4440.00,4440.00
SAFARI Double Bond Distemper 20kg (MERRY PINK),,,PCS,,,,,,,,17,740.00,-12580.00,12580.00
SAFARI Double Bond Distemper 20kg (PALE CREAM),,,PCS,,,,,,,,11,740.00,-8140.00,8140.00
SAFARI Double Bond Distemper 20kg (PALE ROSE),,,PCS,,,,,,,,19,778.95,-14800.00,14800.00
SAFARI Double Bond Distemper 20kg (PARROT GREEN),,,PCS,,,,,,,,14,740.00,-10360.00,10360.00
SAFARI Double Bond Distemper 20kg (SKY BLUE),,,PCS,,,,,,,,1,740.00,-740.00,740.00
SAFARI Double Bond Distemper 20kg (SUNRISE),,,PCS,,,,,,,,30,732.00,-21960.00,21960.00
SAFARI Double Bond Distemper 20kg (WHITE),,,PCS,,,,,,,,21,809.76,-17004.91,17004.91
SAFARI Double Bond Distemper 20kg (WILD LILAC),,,PCS,,,,,,,,5,740.00,-3700.00,3700.00
SAFARI Double Bond Distemper 5kg (AQUAMARINE),,,PCS,,,,,,,,1,254.57,-254.57,254.57
SAFARI Double Bond Distemper 5kg (CANDY),,,PCS,,,,,,,,16,250.00,-4000.00,4000.00
SAFARI Double Bond Distemper 5kg (DAFFODIL),,,PCS,,,,,,,,52,252.23,-13115.82,13115.82
SAFARI Double Bond Distemper 5kg (ELECTRIC BLUE),,,PCS,,,,,,,,25,370.00,-9250.00,9250.00
SAFARI Double Bond Distemper 5kg (JAIPURIYA PINK),,,PCS,,,,,,,,32,312.50,-10000.00,10000.00
SAFARI Double Bond Distemper 5kg (JOLLY HOLLY),,,PCS,,,,,,,,18,275.00,-4950.00,4950.00
SAFARI Double Bond Distemper 5kg (LIGHT GREEN),,,PCS,,,,,,,,67,250.00,-16750.00,16750.00
SAFARI Double Bond Distemper 5kg (LIRIL),,,PCS,,,,,,,,12,216.13,-2593.55,2593.55
SAFARI Double Bond Distemper 5kg (MEGENTA),,,PCS,,,,,,,,28,285.71,-8000.00,8000.00
SAFARI Double Bond Distemper 5kg (MERRY PINK),,,PCS,,,,,,,,31,250.00,-7750.00,7750.00
SAFARI Double Bond Distemper 5kg (PALE CREAM),,,PCS,,,,,,,,40,250.00,-10000.00,10000.00
SAFARI Double Bond Distemper 5kg (PALE ROSE),,,PCS,,,,,,,,73,327.26,-23889.76,23889.76
SAFARI Double Bond Distemper 5kg (PARROT GREEN),,,PCS,,,,,,,,42,235.74,-9901.11,9901.11
SAFARI Double Bond Distemper 5kg (PISTA),,,PCS,,,,,,,,89,250.00,-22250.00,22250.00
SAFARI Double Bond Distemper 5kg (SKY BLUE),,,PCS,,,,,,,,27,250.00,-6750.00,6750.00
SAFARI Double Bond Distemper 5kg (SUNRISE),,,PCS,,,,,,,,100,250.00,-25000.00,25000.00
SAFARI Double Bond Distemper 5kg (WHITE),,,PCS,,,,,,,,84,207.92,-17464.92,17464.92
SAFARI Double Bond Distemper 5kg (WILD LILAC),,,PCS,,,,,,,,1,100.00,-100.00,100.00
SAFARI Double Bond Distemper 5kg (YELLOW),,,PCS,,,,,,,,100,275.00,-27500.00,27500.00
SAFARI DISTEMPER POUCH,,,BOX,,,,,,,,2349,432.28,-1015419.71,1015419.71
SAFARI Double Bond Distemper 1kg Pouch (AQUAMARINE),,,PKT,,,,,,,,4220.000,27.15,-114577.43,114577.43
SAFARI Double Bond Distemper 1kg Pouch(BRIGHT BLUE),,,PKT,,,,,,,,205.000,83.45,-17106.96,17106.96
SAFARI Double Bond Distemper 1kg Pouch (CANDY),,,PKT,,,,,,,,1299.000,33.46,-43471.00,43471.00
SAFARI Double Bond Distemper 1kg Pouch (DAFFODIL),,,PKT,,,,,,,,2599.000,28.66,-74487.78,74487.78
SAFARI Double Bond Distemper 1kg Pouch (D-BLUE),,,PKT,,,,,,,,580.000,29.00,-16820.00,16820.00
SAFARI Double Bond Distemper 1kg Pouch (ELECTRIC BLUE),,,PKT,,,,,,,,2882.000,42.91,-123658.10,123658.10
SAFARI Double Bond Distemper 1kg Pouch (FIRE RED),,,PKT,,,,,,,,936.000,29.22,-27347.38,27347.38
SAFARI Double Bond Distemper 1kg Pouch (IVARY),,,PKT,,,,,,,,1675.000,28.58,-47874.98,47874.98
SAFARI Double Bond Distemper 1kg Pouch (JAIPURI PINK),,,PKT,,,,,,,,8.000,35.63,-285.04,285.04
SAFARI Double Bond Distemper 1kg Pouch (JOLLY HOLLY,,,PKT,,,,,,,,403.000,31.88,-12847.00,12847.00
SAFARI Double Bond Distemper 1kg Pouch (LIGHT GREEN),,,PKT,,,,,,,,808.000,29.00,-23432.00,23432.00
SAFARI Double Bond Distemper 1kg Pouch (LIRIL),,,PKT,,,,,,,,1353.000,41.41,-56027.95,56027.95
SAFARI Double Bond Distemper 1kg Pouch (MEGENTA),,,PKT,,,,,,,,17.000,29.00,-493.00,493.00
SAFARI Double Bond Distemper 1kg Pouch (MERRY PINK),,,PKT,,,,,,,,919.000,29.94,-27516.57,27516.57
SAFARI Double Bond Distemper 1kg Pouch (PALE CREAM),,,PKT,,,,,,,,403.000,28.38,-11437.55,11437.55
SAFARI Double Bond Distemper 1kg Pouch (PALE ROSE),,,PKT,,,,,,,,1588.000,246.83,391959.04,391959.04
SAFARI Double Bond Distemper 1kg Pouch (PARROT GREEN),,,PKT,,,,,,,,9260.000,29.82,-276099.57,276099.57
SAFARI Double Bond Distemper 1kg Pouch (PISTA),,,PKT,,,,,,,,293.000,26.00,-7618.58,7618.58
SAFARI Double Bond Distemper 1kg Pouch (PURPLE),,,PKT,,,,,,,,995.000,29.00,-28855.00,28855.00
SAFARI Double Bond Distemper 1kg Pouch (SIGNAL RED),,,PKT,,,,,,,,20.000,29.00,-580.00,580.00
SAFARI Double Bond Distemper 1kg Pouch (SKY BLUE),,,,,,,,,,,,,-15360.00,15360.00
SAFARI Double Bond Distemper 1kg Pouch (SUNRISE),,,PKT,,,,,,,,244.000,25.38,-6193.78,6193.78
SAFARI Double Bond Distemper 1kg Pouch (TANGO),,,PKT,,,,,,,,913.000,11.68,-10666.06,10666.06
SAFARI Double Bond Distemper 1kg Pouch (TERRACOTTA),,,PKT,,,,,,,,7.000,29.00,-203.00,203.00
SAFARI Double Bond Distemper 1kg Pouch (WHITE),,,PKT,,,,,,,,7153.000,36.60,-261777.51,261777.51
SAFARI Double Bond Distemper 1kg Pouch (WILD LILAC),,,PKT,,,,,,,,5372.000,31.11,-167132.50,167132.50
SAFARI Double Bond Distemper 1kg Pouch (YELLOW),,,PKT,,,,,,,,737.000,27.01,-19910.01,19910.01
SAFARI Double Bond Distemper 1kg (SUNRISE),,,PCS,,,,,,,,600,26.00,-15600.00,15600.00
SAFARI EXT. Emulsion,,,PCS,,,,,,,,158,796.06,-125778.08,125778.08
Safari Smooth Finish Ext Eml 20Ltr(High Gloss),,,PCS,,,,,,,,3,6700.00,-20100.00,20100.00
SAFARI Smooth Finish Luxury Ext. Eml. 10Ltr. (Matt),,,PCS,,,,,,,,7,,,
SAFARI Smooth Finish Luxury Ext. Eml. 1Ltr. (Matt),,,PCS,,,,,,,,41,165.32,-6778.08,6778.08
SAFARI Smooth Finish Luxury Ext. Eml. 1Ltr.(Sheen),,,PCS,,,,,,,,46,,,
SAFARI Smooth Finish Luxury Ext. Eml. 20Ltr. (Matt),,,PCS,,,,,,,,7,,,
SAFARI Smooth Finish Luxury Ext. Eml. 20Ltr.(Sheen),,,PCS,,,,,,,,1,,,
SAFARI Smooth Finish Luxury Ext.Eml 20Ltr.(YELLOW),,,PCS,,,,,,,,4,6700.00,-26800.00,26800.00
SAFARI Smooth Finish Luxury Ext. Eml. 4Ltr. (Matt),,,PCS,,,,,,,,7,,,
Safari Smooth Finishy Ext Eml 10Ltr(High Gloss),,,PCS,,,,,,,,1,3400.00,-3400.00,3400.00
Safari Smoth Finish Luxury Ext Eml 10Ltr.(Yellow),,,PCS,,,,,,,,1,3400.00,-3400.00,3400.00
Safari SmothFinish Luxury Ext.Eml 20Ltr(SIGNAL RED),,,PCS,,,,,,,,5,3400.00,-17000.00,17000.00
Safari Smoth Finish Luxury Ext.Eml 4Ltr. High Gloss,,,PCS,,,,,,,,35,1380.00,-48300.00,48300.00
SAFARI Int. Emulsion,,,PCS,,,,,,,,59,389.66,-22990.00,22990.00
Safari Smooth Finish Luxury Int. 20Ltr.(Teracotta),,,PCS,,,,,,,,7,1525.00,-10675.00,10675.00
SAFARI Smooth Finish Luxury Int. Eml. 1Ltr.(Sheen),,,PCS,,,,,,,,37,,,
SAFARI Smooth Finish Luxury Int. Eml. 20Ltr.(Sheen),,,PCS,,,,,,,,1,3900.00,-3900.00,3900.00
SAFARI Smooth Finish Luxury Int. Eml. 4Ltr. (Matt),,,PCS,,,,,,,,3,810.00,-2430.00,2430.00
SAFARI Smooth Finish Luxury Int. Eml. 4Ltr.(Sheen),,,PCS,,,,,,,,4,,,
Safari Smoth Finish Luxury Int.10Ltr.(Teracotta),,,PCS,,,,,,,,7,855.00,-5985.00,5985.00
SAPPHIRE Ext. Emulsion,,,PCS,,,,,,,,178,290.96,-51790.00,51790.00
Sapphire Luxury Eml.2in1 Ext. 1 Ltr.(Sheen),,,PCS,,,,,,,,39,350.00,-13650.00,13650.00
SAPPHIRE Super Shine  Ext. Eml. 1Ltr. (High Gloss),,,PCS,,,,,,,,144,264.86,-38140.00,38140.00
SAPPHIRE Super Shine  Ext. Eml. 20Ltr. (High Gloss),,,PCS,,,,,,,,-1,,,
SAPPHIRE Super Shine  Ext. Eml. 4Ltr. (High Gloss),,,PCS,,,,,,,,-4,,,
SAPPHIRE Int. Emulsion,,,PCS,,,,,,,,1,7680.00,-7680.00,7680.00
SAPPHIRE Super Shine  Int. Eml. 1Ltr. (High Gloss),,,,,,,,,,,,,-6300.00,6300.00
SAPPHIRE Super Shine  Int. Eml. 4Ltr. (High Gloss),,,PCS,,,,,,,,1,1380.00,-1380.00,1380.00
Stationary Item,,,,,,,,,,,,,-10148.98,10148.98
Book,,,QTY,,,,,,,,400.000,22.50,-9000.00,9000.00
BOX File Paper,,,QTY,,,,,,,,4.000,60.00,-240.00,240.00
CM REGISTER,,,PCS,,,,,,,,3,160.00,-480.00,480.00
Cobrafile 700,,,QTY,,,,,,,,6.000,15.00,-90.00,90.00
COMPUTER STICKER AST1,,,QTY,,,,,,,,1.000,338.98,-338.98,338.98
WATER BASE ENAMEL,,,PCS,,,,,,,,363,409.71,-148724.38,148724.38
SAPPHIRE Floor Coat 1Ltr. (SIGNAL RED),,,PCS,,,,,,,,4,190.00,-760.00,760.00
SAPPHIRE Floor Coat 4Ltr. (SIGNAL RED),,,PCS,,,,,,,,2,487.50,-975.00,975.00
SAPPHIRE Water Base Enamal 2in3 10Ltr.,,,PCS,,,,,,,,6,1700.00,-10200.00,10200.00
Sapphire Water Base Enamel 10 Ltr.(White),,,PCS,,,,,,,,11,1700.00,-18700.00,18700.00
Sapphire Water Base Enamel 20 Ltr.(White),,,PCS,,,,,,,,15,3220.00,-48300.00,48300.00
Sapphire Water Base Enamel 9/10/11 10Ltr.,,,PCS,,,,,,,,8,1700.00,-13600.00,13600.00
SAPPHIRE W/B Enamel 1Ltr. (BLACK),,,PCS,,,,,,,,86,169.27,-14557.46,14557.46
SAPPHIRE W/B Enamel 1Ltr. (BLUE),,,PCS,,,,,,,,14,140.00,-1960.00,1960.00
SAPPHIRE W/B Enamel 1Ltr. (LIGHT GREEN),,,PCS,,,,,,,,79,190.00,-15010.00,15010.00
SAPPHIRE W/B Enamel 1Ltr. (PO. RED),,,PCS,,,,,,,,20,167.20,-3344.00,3344.00
SAPPHIRE W/B Enamel 1 Ltr.(SIGNAL RED),,,PCS,,,,,,,,6,190.00,-1140.00,1140.00
SAPPHIRE W/B Enamel 1Ltr. (WHITE),,,PCS,,,,,,,,50,190.00,-9500.00,9500.00
SAPPHIRE W/B Enamel 1Ltr. (YELLOW),,,PCS,,,,,,,,62,172.22,-10677.92,10677.92
WOOD PRIMER,,,,,,,,,,,,,-83708.99,83708.99
Safari Wood Primer 1 Ltr.,,,PCS,,,,,,,,268,110.03,-29488.99,29488.99
Safari Wood Primer 20 Ltr.,,,DRM,,,,,,,,5,,,
Safari Wood Primer 4 Ltr.,,,PCS,,,,,,,,14,400.00,-5600.00,5600.00
Safari Wood Primer 500 ML.,,,PCS,,,,,,,,748,65.00,-48620.00,48620.00
